,season,injury,start_date,end_date,duration_in_days,games_missed
0,22/23,Calf Problems,"Oct 5, 2022","Oct 13, 2022",8,3
1,22/23,Rest,"Dec 26, 2022","Jan 3, 2023",8,2
2,21/22,Fitness,"Aug 1, 2021","Aug 26, 2021",25,4
3,21/22,Knee Problems,"Oct 29, 2021","Nov 11, 2021",13,3
4,21/22,Quarantine,"Jan 6, 2022","Jan 20, 2022",14,2
5,21/22,Flu,"Mar 17, 2022","Mar 24, 2022",7,1
6,20/21,Hamstring Injury,"Jan 12, 2021","Jan 15, 2021",3,1
7,19/20,Adductor problems,"Sep 25, 2019","Oct 1, 2019",6,1
8,22/23,Achilles tendon problems,"Nov 5, 2022","Nov 7, 2022",2,1
9,22/23,Knee Problems,"Feb 8, 2023","Feb 13, 2023",5,2
10,21/22,Bone Bruise,"Sep 20, 2021","Sep 27, 2021",7,2
11,21/22,Corona virus,"Jan 1, 2022","Jan 5, 2022",4,1
12,21/22,Quarantine,"Jan 6, 2022","Jan 20, 2022",14,2
13,20/21,Ankle Injury,"Dec 23, 2020","Jan 1, 2021",9,1
14,19/20,Foot Injury,"Aug 5, 2019","Sep 16, 2019",42,4
15,18/19,Forearm Fracture,"Oct 21, 2018","Nov 9, 2018",19,5
16,18/19,Forearm Fracture,"Oct 21, 2018","Nov 9, 2018",19,5
17,17/18,Adductor problems,"Mar 22, 2018","Mar 30, 2018",8,0
18,16/17,Torn muscle bundle,"Sep 22, 2016","Oct 15, 2016",23,4
19,15/16,Medial Collateral Ligament Knee Injury,"Sep 28, 2015","Nov 18, 2015",51,9
20,15/16,Thigh Problems,"Jan 18, 2016","Jan 21, 2016",3,1
21,15/16,Back bruise,"May 28, 2016","Jun 10, 2016",13,0
22,13/14,Thigh Problems,"Aug 11, 2013","Aug 15, 2013",4,0
23,18/19,Forearm Fracture,"Oct 21, 2018","Nov 9, 2018",19,5
24,18/19,Pubitis,"Mar 23, 2019","Mar 29, 2019",6,0
25,16/17,Adductor problems,"Sep 5, 2016","Sep 8, 2016",3,0
26,16/17,Influenza,"Nov 17, 2016","Nov 21, 2016",4,1
27,15/16,Kidney problems,"Dec 14, 2015","Dec 17, 2015",3,1
28,15/16,Kidney stone surgery,"Feb 9, 2016","Feb 14, 2016",5,2
29,14/15,Ankle problems,"Mar 29, 2015","Mar 31, 2015",2,0
30,13/14,Thigh Problems,"Aug 22, 2013","Aug 26, 2013",4,1
31,13/14,Torn muscle bundle,"Nov 11, 2013","Jan 6, 2014",56,9
32,12/13,Hamstring Injury,"May 13, 2013","Jun 6, 2013",24,3
33,09/10,Strain,"Aug 10, 2009","Aug 18, 2009",8,1
34,07/08,Torn muscle bundle,"Mar 6, 2008","Apr 10, 2008",35,8
35,05/06,Thigh Muscle Strain,"Feb 6, 2006","Feb 16, 2006",10,1
36,13/14,Hamstring Injury,"Sep 29, 2013","Oct 18, 2013",19,2
37,12/13,Hamstring Injury,"Apr 3, 2013","Apr 22, 2013",19,4
38,10/11,Stretched Ligament,"Sep 20, 2010","Sep 27, 2010",7,2
39,07/08,Hamstring Injury,"Dec 17, 2007","Jan 14, 2008",28,6
40,06/07,Metatarsal Fracture,"Nov 13, 2006","Feb 8, 2007",87,18
41,05/06,Torn muscle bundle,"Mar 8, 2006","May 21, 2006",74,17
